,puntuacion usuarios,marca
1575,8.4,SONY
4485,8.4,SONY
5642,8.4,SONY
1623,8.4,SONY
3873,8.4,SONY
10862,8.4,SONY
10860,8.4,SONY
16528,8.4,SONY
16738,8.4,SONY
2989,8.4,SONY
3056,8.4,SONY
3887,8.4,SONY
8815,8.4,SONY
1495,8.4,SONY
6753,8.4,SONY
466,8.3,SONY
2885,8.3,SONY
2594,8.3,SONY
8110,8.3,SONY
3040,8.3,SONY
3717,8.3,SONY
2580,8.3,SONY
2779,8.3,SONY
3026,8.3,SONY
3985,8.3,SONY
2981,8.3,SONY
14165,8.3,SONY
15941,8.3,SONY
7579,8.3,SONY
13730,8.3,SONY
7506,8.3,SONY
207,8.3,SONY
7505,8.3,SONY
17267,8.3,SONY
8075,8.3,SONY
9554,8.3,SONY
3991,8.3,SONY
14070,8.3,SONY
3657,8.3,SONY
3970,8.3,SONY
8731,8.3,SONY
2545,8.3,SONY
7327,8.3,SONY
2650,8.3,SONY
2668,8.3,SONY
6219,8.3,SONY
6377,8.3,SONY
623,8.3,SONY
8383,8.3,SONY
3244,8.3,SONY
16250,8.3,SONY
2967,8.3,SONY
8435,8.3,SONY
569,8.3,SONY
3132,8.3,SONY
7017,8.3,SONY
6435,8.3,SONY
3881,8.3,SONY
6315,8.3,SONY
3143,8.3,SONY
3209,8.3,SONY
630,8.3,SONY
3186,8.3,SONY
6372,8.3,SONY
3855,8.3,SONY
4092,8.3,SONY
8596,8.3,SONY
3730,8.3,SONY
15809,8.3,SONY
3388,8.3,SONY
14024,8.3,SONY
2664,8.3,SONY
3066,8.3,SONY
17493,8.3,SONY
6224,8.3,SONY
8965,8.3,SONY
8628,8.3,SONY
3313,8.3,SONY
3091,8.3,SONY
3303,8.3,SONY
9317,8.3,SONY
3298,8.3,SONY
9297,8.3,SONY
2698,8.3,SONY
9006,8.3,SONY
3787,8.3,SONY
13928,8.3,SONY
8432,8.3,SONY
13322,8.3,SONY
2543,8.3,SONY
4469,8.3,SONY
5534,8.3,SONY
10967,8.3,SONY
13497,8.3,SONY
1528,8.3,SONY
5508,8.3,SONY
12880,8.3,SONY
11125,8.3,SONY
334,8.3,SONY
796,8.3,SONY
4554,8.3,SONY
5367,8.3,SONY
5333,8.3,SONY
