,nombre,plataforma,fecha lanzamiento,puntuacion,puntuacion usuarios,desarrollador,genero,numero jugadores,numero criticas,numero usuarios
1525,City of Heroes,PC,2004-04-27,85,8.4,"ParagonStudios,CrypticStudios","Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Modern,Modern",Massively Multiplayer,58,115
1546,DOOM,PlayStation4,2016-05-13,85,8.4,idSoftware,"Sci-Fi,Third-Person,Action,Shooter,First-Person,Arcade",Up to 12 ,61,2308
12131,MediEvil: Resurrection,PSP,2005-09-13,66,8.4,SCEE,"Action Adventure,Fantasy,General,Fantasy",1-2 ,43,85
737,Medal of Honor Frontline,PlayStation2,2002-05-28,88,8.4,EALA,"Action,Shooter,First-Person,Historic",1 Player,29,169
1601,Forza Horizon,Xbox360,2012-10-23,85,8.4,"PLAYGROUND,PlaygroundGames","Driving,Racing,Simulation,GT / Street,GT / Street,Automobile",Up to 8 ,83,534
10493,Mortal Kombat: Unchained,PSP,2006-11-13,70,8.4,JGIEntertainment,"Action,Fighting,Fighting,3D,3D",1-2 ,19,39
1700,Phantasy Star Online Episode I & II,GameCube,2002-10-29,85,8.4,SonicTeam,"Role-Playing,Massively Multiplayer Online,Sci-Fi",1-4 ,31,78
10543,The Punisher (2005),Xbox,2005-01-17,69,8.4,VolitionInc.,"Action,Shooter,Third-Person,Modern",1 Player,47,23
1682,The Walking Dead: Episode 3 - Long Road Ahead,PC,2012-08-29,85,8.4,TelltaleGames,"Miscellaneous,Adventure,General,Compilation,Point-and-Click",No info,24,258
1681,Professor Layton and the Curious Village,DS,2008-02-10,85,8.4,Level5,"Miscellaneous,Adventure,Puzzle,Edutainment,General,Puzzle,General",No Online Multiplayer,72,202
845,Devil May Cry 5,PlayStation4,2019-03-08,88,8.4,Capcom,"Action Adventure,General",Up to 3 ,42,1546
1670,Final Fantasy IV Advance,GameBoyAdvance,2005-12-12,85,8.4,TOSE,"Role-Playing,Console-style RPG",1 Player,30,61
1585,Rocket League,PlayStation4,2015-07-07,85,8.4,"Psyonix,PanicButton","Racing,Futuristic,Sports,Team,Soccer,Arcade",Up to 8 ,50,1746
10594,Kororinpa: Marble Mania,Wii,2007-03-20,69,8.4,Hudson,"Miscellaneous,Puzzle,Action,General,Puzzle,Action",No Online Multiplayer,39,24
1655,Assetto Corsa,PC,2014-12-19,85,8.4,KunosSimulazioni,"Driving,General,GT / Street,Racing,Simulation,Automobile",Online Multiplayer,17,346
10650,Duck Dodgers Starring Daffy Duck,Nintendo64,2000-09-16,69,8.4,ParadigmEntertainment,"Action,Platformer,3D",No info,7,5
1645,Tony Hawk's Underground,Xbox,2003-10-27,85,8.4,NeversoftEntertainment,"Sports,Alternative,Skateboarding",1-2 ,33,32
1639,Final Fantasy X / X-2 HD Remaster,PlayStation3,2014-03-18,85,8.4,Virtuos,"Role-Playing,Miscellaneous,Console-style RPG,Compilation,Compilation",No Online Multiplayer,50,486
836,The Witcher 2: Assassins of Kings,Xbox360,2012-04-17,88,8.4,CDProjektRedStudio,"Action RPG,Role-Playing,Action RPG",No Online Multiplayer,82,916
834,Shogo: Mobile Armor Division,PC,1998-09-30,88,8.4,MonolithProductions,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",Online Multiplayer,13,79
10820,Golf: Tee It Up!,Xbox360,2008-07-09,69,8.4,Housemarque,"Sports,Traditional,Individual,Golf,Arcade,Arcade",4  Online,17,12
1656,Ys VIII: Lacrimosa of DANA,PlayStation4,2017-09-12,85,8.4,Falcom,"Role-Playing,Action RPG",No Online Multiplayer,39,235
15103,Over the Hedge,PlayStation2,2006-05-09,58,8.4,EdgeofReality,"Action,Platformer,3D",1-2 ,29,16
72,Call of Duty 4: Modern Warfare,PlayStation3,2007-11-05,94,8.4,InfinityWard,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",Up to 18 ,44,1170
17144,Lowrider,PlayStation2,2003-11-20,46,8.4,PacificCenturyCyberWorks,"Miscellaneous,Rhythm,Dancing",1-2 ,14,11
